indicator,drug_type,lhn,financial_year,year_start,count,mean_bed_days,group_by,sex,age_group,indigenous_status,seifa_quintile,remoteness,population,rate_per_100k,rate_lcl,rate_ucl
Alcohol and other drug-related hospitalisations,Anaesthetics,Limestone Coast LHN,2024-25,2024,1,1.0,Sex,Males,All ages,All,All,All,34088,2.9,0.0,8.6
Alcohol and other drug-related hospitalisations,Anaesthetics,Northern Adelaide LHN,2020-21,2020,4,1.0,Sex,Females,All ages,All,All,All,210000,1.9,0.0,3.8
Alcohol and other drug-related hospitalisations,Anaesthetics,Northern Adelaide LHN,2020-21,2020,9,1.67,Sex,Males,All ages,All,All,All,210000,4.3,1.5,7.1
Alcohol and other drug-related hospitalisations,Anaesthetics,Northern Adelaide LHN,2021-22,2021,8,2.75,Sex,Females,All ages,All,All,All,212520,3.8,1.2,6.4
Alcohol and other drug-related hospitalisations,Anaesthetics,Northern Adelaide LHN,2021-22,2021,15,1.53,Sex,Males,All ages,All,All,All,212520,7.1,3.5,10.7
Alcohol and other drug-related hospitalisations,Anaesthetics,Northern Adelaide LHN,2022-23,2022,3,1.33,Sex,Females,All ages,All,All,All,215070,1.4,0.0,3.0
Alcohol and other drug-related hospitalisations,Anaesthetics,Northern Adelaide LHN,2022-23,2022,15,2.27,Sex,Males,All ages,All,All,All,215070,7.0,3.5,10.5
Alcohol and other drug-related hospitalisations,Anaesthetics,Northern Adelaide LHN,2023-24,2023,7,1.86,Sex,Females,All ages,All,All,All,217651,3.2,0.8,5.6
Alcohol and other drug-related hospitalisations,Anaesthetics,Northern Adelaide LHN,2023-24,2023,15,1.4,Sex,Males,All ages,All,All,All,217651,6.9,3.4,10.4
Alcohol and other drug-related hospitalisations,Anaesthetics,Northern Adelaide LHN,2024-25,2024,13,2.31,Sex,Females,All ages,All,All,All,220262,5.9,2.7,9.1
Alcohol and other drug-related hospitalisations,Anaesthetics,Northern Adelaide LHN,2024-25,2024,13,1.46,Sex,Males,All ages,All,All,All,220262,5.9,2.7,9.1
Alcohol and other drug-related hospitalisations,Anaesthetics,Riverland Mallee Coorong LHN,2020-21,2020,1,1.0,Sex,Females,All ages,All,All,All,35000,2.9,0.0,8.5
Alcohol and other drug-related hospitalisations,Anaesthetics,Riverland Mallee Coorong LHN,2021-22,2021,1,1.0,Sex,Females,All ages,All,All,All,35420,2.8,0.0,8.3
Alcohol and other drug-related hospitalisations,Anaesthetics,Riverland Mallee Coorong LHN,2022-23,2022,1,1.0,Sex,Females,All ages,All,All,All,35845,2.8,0.0,8.3
Alcohol and other drug-related hospitalisations,Anaesthetics,Riverland Mallee Coorong LHN,2022-23,2022,2,1.0,Sex,Males,All ages,All,All,All,35845,5.6,0.0,13.3
Alcohol and other drug-related hospitalisations,Anaesthetics,Riverland Mallee Coorong LHN,2023-24,2023,1,1.0,Sex,Males,All ages,All,All,All,36275,2.8,0.0,8.2
Alcohol and other drug-related hospitalisations,Anaesthetics,Riverland Mallee Coorong LHN,2024-25,2024,2,1.0,Sex,Females,All ages,All,All,All,36710,5.4,0.0,13.0
Alcohol and other drug-related hospitalisations,Anaesthetics,Riverland Mallee Coorong LHN,2024-25,2024,2,1.0,Sex,Males,All ages,All,All,All,36710,5.4,0.0,13.0
Alcohol and other drug-related hospitalisations,Anaesthetics,South Australia (All LHNs),2020-21,2020,16,1.31,Sex,Females,All ages,All,All,All,905000,1.8,0.9,2.7
Alcohol and other drug-related hospitalisations,Anaesthetics,South Australia (All LHNs),2020-21,2020,31,1.65,Sex,Males,All ages,All,All,All,905000,3.4,2.2,4.6
Alcohol and other drug-related hospitalisations,Anaesthetics,South Australia (All LHNs),2021-22,2021,25,1.76,Sex,Females,All ages,All,All,All,915860,2.7,1.6,3.8
Alcohol and other drug-related hospitalisations,Anaesthetics,South Australia (All LHNs),2021-22,2021,40,1.55,Sex,Males,All ages,All,All,All,915860,4.4,3.0,5.8
Alcohol and other drug-related hospitalisations,Anaesthetics,South Australia (All LHNs),2022-23,2022,23,1.13,Sex,Females,All ages,All,All,All,926850,2.5,1.5,3.5
Alcohol and other drug-related hospitalisations,Anaesthetics,South Australia (All LHNs),2022-23,2022,48,1.79,Sex,Males,All ages,All,All,All,926850,5.2,3.7,6.7
Alcohol and other drug-related hospitalisations,Anaesthetics,South Australia (All LHNs),2023-24,2023,29,1.69,Sex,Females,All ages,All,All,All,937972,3.1,2.0,4.2
Alcohol and other drug-related hospitalisations,Anaesthetics,South Australia (All LHNs),2023-24,2023,41,1.49,Sex,Males,All ages,All,All,All,937972,4.4,3.1,5.7
Alcohol and other drug-related hospitalisations,Anaesthetics,South Australia (All LHNs),2024-25,2024,38,1.82,Sex,Females,All ages,All,All,All,949228,4.0,2.7,5.3
Alcohol and other drug-related hospitalisations,Anaesthetics,South Australia (All LHNs),2024-25,2024,44,1.73,Sex,Males,All ages,All,All,All,949228,4.6,3.2,6.0
Alcohol and other drug-related hospitalisations,Anaesthetics,Southern Adelaide LHN,2020-21,2020,4,1.0,Sex,Females,All ages,All,All,All,200000,2.0,0.0,4.0
Alcohol and other drug-related hospitalisations,Anaesthetics,Southern Adelaide LHN,2020-21,2020,5,2.2,Sex,Males,All ages,All,All,All,200000,2.5,0.3,4.7
Alcohol and other drug-related hospitalisations,Anaesthetics,Southern Adelaide LHN,2021-22,2021,3,1.0,Sex,Females,All ages,All,All,All,202400,1.5,0.0,3.2
Alcohol and other drug-related hospitalisations,Anaesthetics,Southern Adelaide LHN,2021-22,2021,11,1.45,Sex,Males,All ages,All,All,All,202400,5.4,2.2,8.6
Alcohol and other drug-related hospitalisations,Anaesthetics,Southern Adelaide LHN,2022-23,2022,3,1.0,Sex,Females,All ages,All,All,All,204828,1.5,0.0,3.2
Alcohol and other drug-related hospitalisations,Anaesthetics,Southern Adelaide LHN,2022-23,2022,6,3.0,Sex,Males,All ages,All,All,All,204828,2.9,0.6,5.2
Alcohol and other drug-related hospitalisations,Anaesthetics,Southern Adelaide LHN,2023-24,2023,7,2.14,Sex,Females,All ages,All,All,All,207286,3.4,0.9,5.9
Alcohol and other drug-related hospitalisations,Anaesthetics,Southern Adelaide LHN,2023-24,2023,11,1.27,Sex,Males,All ages,All,All,All,207286,5.3,2.2,8.4
Alcohol and other drug-related hospitalisations,Anaesthetics,Southern Adelaide LHN,2024-25,2024,8,2.12,Sex,Females,All ages,All,All,All,209774,3.8,1.2,6.4
Alcohol and other drug-related hospitalisations,Anaesthetics,Southern Adelaide LHN,2024-25,2024,8,2.38,Sex,Males,All ages,All,All,All,209774,3.8,1.2,6.4
Alcohol and other drug-related hospitalisations,Anaesthetics,Yorke and Northern LHN,2022-23,2022,2,1.0,Sex,Females,All ages,All,All,All,38405,5.2,0.0,12.4
Alcohol and other drug-related hospitalisations,Anaesthetics,Yorke and Northern LHN,2022-23,2022,1,1.0,Sex,Males,All ages,All,All,All,38405,2.6,0.0,7.7
Alcohol and other drug-related hospitalisations,Anaesthetics,Yorke and Northern LHN,2023-24,2023,2,1.0,Sex,Females,All ages,All,All,All,38866,5.1,0.0,12.2
Alcohol and other drug-related hospitalisations,Anaesthetics,Yorke and Northern LHN,2023-24,2023,2,1.5,Sex,Males,All ages,All,All,All,38866,5.1,0.0,12.2
Alcohol and other drug-related hospitalisations,Anaesthetics,Yorke and Northern LHN,2024-25,2024,2,1.0,Sex,Females,All ages,All,All,All,39332,5.1,0.0,12.1
Alcohol and other drug-related hospitalisations,Anaesthetics,Yorke and Northern LHN,2024-25,2024,1,1.0,Sex,Males,All ages,All,All,All,39332,2.5,0.0,7.5
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Barossa Hills Fleurieu LHN,2020-21,2020,2,2.0,Sex,Males,All ages,All,All,All,82500,2.4,0.0,5.8
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Barossa Hills Fleurieu LHN,2021-22,2021,1,1.0,Sex,Females,All ages,All,All,All,83490,1.2,0.0,3.5
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Barossa Hills Fleurieu LHN,2022-23,2022,1,1.0,Sex,Females,All ages,All,All,All,84491,1.2,0.0,3.5
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Barossa Hills Fleurieu LHN,2022-23,2022,2,1.0,Sex,Males,All ages,All,All,All,84491,2.4,0.0,5.7
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Barossa Hills Fleurieu LHN,2023-24,2023,3,2.33,Sex,Males,All ages,All,All,All,85505,3.5,0.0,7.5
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Barossa Hills Fleurieu LHN,2024-25,2024,2,2.5,Sex,Females,All ages,All,All,All,86531,2.3,0.0,5.5
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Barossa Hills Fleurieu LHN,2024-25,2024,3,1.0,Sex,Males,All ages,All,All,All,86531,3.5,0.0,7.4
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Central Adelaide LHN,2020-21,2020,4,2.25,Sex,Females,All ages,All,All,All,245000,1.6,0.0,3.2
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Central Adelaide LHN,2020-21,2020,3,1.0,Sex,Males,All ages,All,All,All,245000,1.2,0.0,2.6
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Central Adelaide LHN,2021-22,2021,7,1.14,Sex,Females,All ages,All,All,All,247940,2.8,0.7,4.9
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Central Adelaide LHN,2021-22,2021,4,2.5,Sex,Males,All ages,All,All,All,247940,1.6,0.0,3.2
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Central Adelaide LHN,2022-23,2022,5,2.0,Sex,Females,All ages,All,All,All,250915,2.0,0.3,3.7
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Central Adelaide LHN,2022-23,2022,5,1.4,Sex,Males,All ages,All,All,All,250915,2.0,0.3,3.7
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Central Adelaide LHN,2023-24,2023,5,3.4,Sex,Females,All ages,All,All,All,253926,2.0,0.3,3.7
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Central Adelaide LHN,2023-24,2023,10,2.0,Sex,Males,All ages,All,All,All,253926,3.9,1.5,6.3
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Central Adelaide LHN,2024-25,2024,7,2.43,Sex,Females,All ages,All,All,All,256973,2.7,0.7,4.7
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Central Adelaide LHN,2024-25,2024,7,1.29,Sex,Males,All ages,All,All,All,256973,2.7,0.7,4.7
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Eyre and Far North LHN,2020-21,2020,1,1.0,Sex,Females,All ages,All,All,All,27500,3.6,0.0,10.7
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Eyre and Far North LHN,2021-22,2021,1,4.0,Sex,Females,All ages,All,All,All,27830,3.6,0.0,10.6
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Eyre and Far North LHN,2021-22,2021,2,1.0,Sex,Males,All ages,All,All,All,27830,7.2,0.0,17.2
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Eyre and Far North LHN,2023-24,2023,1,1.0,Sex,Males,All ages,All,All,All,28501,3.5,0.0,10.4
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Eyre and Far North LHN,2024-25,2024,1,1.0,Sex,Females,All ages,All,All,All,28843,3.5,0.0,10.3
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Eyre and Far North LHN,2024-25,2024,2,1.5,Sex,Males,All ages,All,All,All,28843,6.9,0.0,16.5
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Flinders and Upper North LHN,2020-21,2020,1,1.0,Sex,Females,All ages,All,All,All,35000,2.9,0.0,8.5
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Flinders and Upper North LHN,2020-21,2020,3,1.33,Sex,Males,All ages,All,All,All,35000,8.6,0.0,18.3
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Flinders and Upper North LHN,2021-22,2021,2,1.5,Sex,Males,All ages,All,All,All,35420,5.6,0.0,13.4
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Flinders and Upper North LHN,2022-23,2022,2,1.5,Sex,Females,All ages,All,All,All,35845,5.6,0.0,13.3
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Flinders and Upper North LHN,2022-23,2022,2,3.0,Sex,Males,All ages,All,All,All,35845,5.6,0.0,13.3
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Flinders and Upper North LHN,2023-24,2023,2,1.0,Sex,Males,All ages,All,All,All,36275,5.5,0.0,13.1
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Flinders and Upper North LHN,2024-25,2024,1,4.0,Sex,Females,All ages,All,All,All,36710,2.7,0.0,8.0
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Limestone Coast LHN,2020-21,2020,1,1.0,Sex,Males,All ages,All,All,All,32500,3.1,0.0,9.1
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Limestone Coast LHN,2021-22,2021,1,3.0,Sex,Females,All ages,All,All,All,32890,3.0,0.0,9.0
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Limestone Coast LHN,2022-23,2022,2,1.5,Sex,Males,All ages,All,All,All,33284,6.0,0.0,14.3
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Limestone Coast LHN,2023-24,2023,1,1.0,Sex,Females,All ages,All,All,All,33684,3.0,0.0,8.8
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Limestone Coast LHN,2023-24,2023,1,1.0,Sex,Males,All ages,All,All,All,33684,3.0,0.0,8.8
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Northern Adelaide LHN,2020-21,2020,4,1.25,Sex,Females,All ages,All,All,All,210000,1.9,0.0,3.8
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Northern Adelaide LHN,2020-21,2020,5,2.4,Sex,Males,All ages,All,All,All,210000,2.4,0.3,4.5
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Northern Adelaide LHN,2021-22,2021,10,1.2,Sex,Males,All ages,All,All,All,212520,4.7,1.8,7.6
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Northern Adelaide LHN,2022-23,2022,1,1.0,Sex,Females,All ages,All,All,All,215070,0.5,0.0,1.4
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Northern Adelaide LHN,2022-23,2022,4,1.75,Sex,Males,All ages,All,All,All,215070,1.9,0.1,3.7
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Northern Adelaide LHN,2023-24,2023,2,1.0,Sex,Females,All ages,All,All,All,217651,0.9,0.0,2.2
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Northern Adelaide LHN,2023-24,2023,6,2.0,Sex,Males,All ages,All,All,All,217651,2.8,0.6,5.0
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Northern Adelaide LHN,2024-25,2024,4,3.0,Sex,Females,All ages,All,All,All,220262,1.8,0.0,3.6
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Northern Adelaide LHN,2024-25,2024,6,1.83,Sex,Males,All ages,All,All,All,220262,2.7,0.5,4.9
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Riverland Mallee Coorong LHN,2020-21,2020,2,1.0,Sex,Males,All ages,All,All,All,35000,5.7,0.0,13.6
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Riverland Mallee Coorong LHN,2021-22,2021,1,2.0,Sex,Females,All ages,All,All,All,35420,2.8,0.0,8.3
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Riverland Mallee Coorong LHN,2022-23,2022,1,1.0,Sex,Males,All ages,All,All,All,35845,2.8,0.0,8.3
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Riverland Mallee Coorong LHN,2023-24,2023,1,1.0,Sex,Males,All ages,All,All,All,36275,2.8,0.0,8.2
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,South Australia (All LHNs),2020-21,2020,12,1.5,Sex,Females,All ages,All,All,All,905000,1.3,0.5,2.1
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,South Australia (All LHNs),2020-21,2020,17,1.59,Sex,Males,All ages,All,All,All,905000,1.9,1.0,2.8
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,South Australia (All LHNs),2021-22,2021,14,1.5,Sex,Females,All ages,All,All,All,915860,1.5,0.7,2.3
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,South Australia (All LHNs),2021-22,2021,25,1.52,Sex,Males,All ages,All,All,All,915860,2.7,1.6,3.8
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,South Australia (All LHNs),2022-23,2022,12,1.5,Sex,Females,All ages,All,All,All,926850,1.3,0.6,2.0
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,South Australia (All LHNs),2022-23,2022,23,1.65,Sex,Males,All ages,All,All,All,926850,2.5,1.5,3.5
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,South Australia (All LHNs),2023-24,2023,10,2.4,Sex,Females,All ages,All,All,All,937972,1.1,0.4,1.8
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,South Australia (All LHNs),2023-24,2023,31,1.71,Sex,Males,All ages,All,All,All,937972,3.3,2.1,4.5
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,South Australia (All LHNs),2024-25,2024,18,2.39,Sex,Females,All ages,All,All,All,949228,1.9,1.0,2.8
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,South Australia (All LHNs),2024-25,2024,21,1.43,Sex,Males,All ages,All,All,All,949228,2.2,1.3,3.1
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Southern Adelaide LHN,2020-21,2020,2,1.0,Sex,Females,All ages,All,All,All,200000,1.0,0.0,2.4
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Southern Adelaide LHN,2020-21,2020,1,1.0,Sex,Males,All ages,All,All,All,200000,0.5,0.0,1.5
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Southern Adelaide LHN,2021-22,2021,4,2.0,Sex,Males,All ages,All,All,All,202400,2.0,0.1,3.9
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Southern Adelaide LHN,2022-23,2022,3,1.0,Sex,Females,All ages,All,All,All,204828,1.5,0.0,3.2
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Southern Adelaide LHN,2022-23,2022,6,1.83,Sex,Males,All ages,All,All,All,204828,2.9,0.6,5.2
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Southern Adelaide LHN,2023-24,2023,1,3.0,Sex,Females,All ages,All,All,All,207286,0.5,0.0,1.4
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Southern Adelaide LHN,2023-24,2023,7,1.29,Sex,Males,All ages,All,All,All,207286,3.4,0.9,5.9
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Southern Adelaide LHN,2024-25,2024,1,1.0,Sex,Females,All ages,All,All,All,209774,0.5,0.0,1.4
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Southern Adelaide LHN,2024-25,2024,2,1.5,Sex,Males,All ages,All,All,All,209774,1.0,0.0,2.3
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Yorke and Northern LHN,2021-22,2021,3,1.0,Sex,Females,All ages,All,All,All,37950,7.9,0.0,16.8
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Yorke and Northern LHN,2021-22,2021,3,1.0,Sex,Males,All ages,All,All,All,37950,7.9,0.0,16.8
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Yorke and Northern LHN,2022-23,2022,1,1.0,Sex,Males,All ages,All,All,All,38405,2.6,0.0,7.7
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Yorke and Northern LHN,2023-24,2023,1,1.0,Sex,Females,All ages,All,All,All,38866,2.6,0.0,7.6
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Yorke and Northern LHN,2024-25,2024,2,1.5,Sex,Females,All ages,All,All,All,39332,5.1,0.0,12.1
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Yorke and Northern LHN,2024-25,2024,1,1.0,Sex,Males,All ages,All,All,All,39332,2.5,0.0,7.5
Alcohol and other drug-related hospitalisations,Androgens and anabolic congeners,Barossa Hills Fleurieu LHN,2020-21,2020,1,7.0,Sex,Females,All ages,All,All,All,82500,1.2,0.0,3.6
Alcohol and other drug-related hospitalisations,Androgens and anabolic congeners,Barossa Hills Fleurieu LHN,2020-21,2020,1,2.0,Sex,Males,All ages,All,All,All,82500,1.2,0.0,3.6
Alcohol and other drug-related hospitalisations,Androgens and anabolic congeners,Barossa Hills Fleurieu LHN,2021-22,2021,2,1.0,Sex,Females,All ages,All,All,All,83490,2.4,0.0,5.7
Alcohol and other drug-related hospitalisations,Androgens and anabolic congeners,Barossa Hills Fleurieu LHN,2021-22,2021,3,1.0,Sex,Males,All ages,All,All,All,83490,3.6,0.0,7.7
Alcohol and other drug-related hospitalisations,Androgens and anabolic congeners,Barossa Hills Fleurieu LHN,2022-23,2022,1,1.0,Sex,Males,All ages,All,All,All,84491,1.2,0.0,3.5
Alcohol and other drug-related hospitalisations,Androgens and anabolic congeners,Barossa Hills Fleurieu LHN,2023-24,2023,1,1.0,Sex,Females,All ages,All,All,All,85505,1.2,0.0,3.5
Alcohol and other drug-related hospitalisations,Androgens and anabolic congeners,Barossa Hills Fleurieu LHN,2023-24,2023,1,1.0,Sex,Males,All ages,All,All,All,85505,1.2,0.0,3.5
Alcohol and other drug-related hospitalisations,Androgens and anabolic congeners,Barossa Hills Fleurieu LHN,2024-25,2024,1,1.0,Sex,Females,All ages,All,All,All,86531,1.2,0.0,3.5
Alcohol and other drug-related hospitalisations,Androgens and anabolic congeners,Barossa Hills Fleurieu LHN,2024-25,2024,4,1.0,Sex,Males,All ages,All,All,All,86531,4.6,0.1,9.1
Alcohol and other drug-related hospitalisations,Androgens and anabolic congeners,Central Adelaide LHN,2020-21,2020,3,2.0,Sex,Females,All ages,All,All,All,245000,1.2,0.0,2.6
Alcohol and other drug-related hospitalisations,Androgens and anabolic congeners,Central Adelaide LHN,2020-21,2020,4,2.25,Sex,Males,All ages,All,All,All,245000,1.6,0.0,3.2
Alcohol and other drug-related hospitalisations,Androgens and anabolic congeners,Central Adelaide LHN,2021-22,2021,5,1.0,Sex,Females,All ages,All,All,All,247940,2.0,0.2,3.8
Alcohol and other drug-related hospitalisations,Androgens and anabolic congeners,Central Adelaide LHN,2021-22,2021,6,3.0,Sex,Males,All ages,All,All,All,247940,2.4,0.5,4.3
Alcohol and other drug-related hospitalisations,Androgens and anabolic congeners,Central Adelaide LHN,2022-23,2022,1,1.0,Sex,Females,All ages,All,All,All,250915,0.4,0.0,1.2
Alcohol and other drug-related hospitalisations,Androgens and anabolic congeners,Central Adelaide LHN,2022-23,2022,7,1.14,Sex,Males,All ages,All,All,All,250915,2.8,0.7,4.9
Alcohol and other drug-related hospitalisations,Androgens and anabolic congeners,Central Adelaide LHN,2023-24,2023,5,1.2,Sex,Females,All ages,All,All,All,253926,2.0,0.3,3.7
Alcohol and other drug-related hospitalisations,Androgens and anabolic congeners,Central Adelaide LHN,2023-24,2023,6,1.0,Sex,Males,All ages,All,All,All,253926,2.4,0.5,4.3
Alcohol and other drug-related hospitalisations,Androgens and anabolic congeners,Central Adelaide LHN,2024-25,2024,1,4.0,Sex,Females,All ages,All,All,All,256973,0.4,0.0,1.2
Alcohol and other drug-related hospitalisations,Androgens and anabolic congeners,Central Adelaide LHN,2024-25,2024,5,1.2,Sex,Males,All ages,All,All,All,256973,1.9,0.2,3.6
Alcohol and other drug-related hospitalisations,Androgens and anabolic congeners,Eyre and Far North LHN,2022-23,2022,1,1.0,Sex,Females,All ages,All,All,All,28163,3.6,0.0,10.6
Alcohol and other drug-related hospitalisations,Androgens and anabolic congeners,Eyre and Far North LHN,2023-24,2023,2,1.0,Sex,Males,All ages,All,All,All,28501,7.0,0.0,16.7
Alcohol and other drug-related hospitalisations,Androgens and anabolic congeners,Eyre and Far North LHN,2024-25,2024,2,2.5,Sex,Females,All ages,All,All,All,28843,6.9,0.0,16.5
Alcohol and other drug-related hospitalisations,Androgens and anabolic congeners,Flinders and Upper North LHN,2020-21,2020,1,1.0,Sex,Females,All ages,All,All,All,35000,2.9,0.0,8.5
Alcohol and other drug-related hospitalisations,Androgens and anabolic congeners,Flinders and Upper North LHN,2021-22,2021,2,1.0,Sex,Females,All ages,All,All,All,35420,5.6,0.0,13.4
Alcohol and other drug-related hospitalisations,Androgens and anabolic congeners,Flinders and Upper North LHN,2021-22,2021,1,1.0,Sex,Males,All ages,All,All,All,35420,2.8,0.0,8.3
Alcohol and other drug-related hospitalisations,Androgens and anabolic congeners,Flinders and Upper North LHN,2023-24,2023,1,1.0,Sex,Males,All ages,All,All,All,36275,2.8,0.0,8.2
Alcohol and other drug-related hospitalisations,Androgens and anabolic congeners,Flinders and Upper North LHN,2024-25,2024,1,3.0,Sex,Females,All ages,All,All,All,36710,2.7,0.0,8.0
Alcohol and other drug-related hospitalisations,Androgens and anabolic congeners,Limestone Coast LHN,2020-21,2020,1,2.0,Sex,Females,All ages,All,All,All,32500,3.1,0.0,9.1
Alcohol and other drug-related hospitalisations,Androgens and anabolic congeners,Limestone Coast LHN,2021-22,2021,1,1.0,Sex,Males,All ages,All,All,All,32890,3.0,0.0,9.0
Alcohol and other drug-related hospitalisations,Androgens and anabolic congeners,Northern Adelaide LHN,2020-21,2020,6,1.0,Sex,Females,All ages,All,All,All,210000,2.9,0.6,5.2
Alcohol and other drug-related hospitalisations,Androgens and anabolic congeners,Northern Adelaide LHN,2020-21,2020,5,1.2,Sex,Males,All ages,All,All,All,210000,2.4,0.3,4.5
Alcohol and other drug-related hospitalisations,Androgens and anabolic congeners,Northern Adelaide LHN,2021-22,2021,2,1.0,Sex,Females,All ages,All,All,All,212520,0.9,0.0,2.2
Alcohol and other drug-related hospitalisations,Androgens and anabolic congeners,Northern Adelaide LHN,2021-22,2021,6,2.0,Sex,Males,All ages,All,All,All,212520,2.8,0.5,5.1
Alcohol and other drug-related hospitalisations,Androgens and anabolic congeners,Northern Adelaide LHN,2022-23,2022,2,1.0,Sex,Females,All ages,All,All,All,215070,0.9,0.0,2.2
Alcohol and other drug-related hospitalisations,Androgens and anabolic congeners,Northern Adelaide LHN,2022-23,2022,8,2.38,Sex,Males,All ages,All,All,All,215070,3.7,1.1,6.3
Alcohol and other drug-related hospitalisations,Androgens and anabolic congeners,Northern Adelaide LHN,2023-24,2023,4,1.0,Sex,Females,All ages,All,All,All,217651,1.8,0.0,3.6
Alcohol and other drug-related hospitalisations,Androgens and anabolic congeners,Northern Adelaide LHN,2023-24,2023,4,1.75,Sex,Males,All ages,All,All,All,217651,1.8,0.0,3.6
